reviews,reviewer_country,review_date,review_rating,verified
fly british airway weekly want route ’ option therefore frankly ’ care customer flight always delayed ’ always someone else ’ fault weather delay incoming aircraft flight traffic control issue ’ heard life understand allowed operate ’ around world traveled world ’ airline british airway really worst worst ’ shame watched used good company fall cliff advice option fly anyone else exercise option ’ flying different connection tight schedule expect ba get destination time,United Kingdom,9/22/2023,1,TRUE
everything ok connecting flight london take runway pilot came announce engine problem engineer tried fix waited plane hour finally told would evacuated rebooked another flight worry special crew waiting u ground help u set u hotel except one help u fact everyone refused help u saturday almost 8pm wanted go home anyone connecting flight couldnt rebook application app wouldnt disassociate first flight connecting one london staff saw still refused help u gave u phone number message said use app finally got someone phone rebooked u next day 1030pm find hotel room airline refused also help u 2 choice either sleep airport pay 700gbp room dont money pay 10 hour flight 8 hour jet lag insane stress fact one british airway would help u took room course claimed reimbursement 3 week ago havent heard anything since idea much ill reimbursed even though im claiming emotional compensation horrible situation put due total indifference financially difficult right money put equal half salary course impossible reach phone feel still august 26 2023 completely trapped indifference solution information,France,9/20/2023,1,FALSE
initial flight cancelled 8 hour prior flight automatically rescheduled next day next day flight delayed leaving hamburg missed connecting flight la vega several passenger spent night london british airway provided u voucher transfer bus dropped u wrong hotel closest hotel told u walk want result lost two night hotel reservation made la vega opened claim provided receipt british airway get refund hotel reservation 5 week single feedback british airway avoid flight future share story,Germany,9/20/2023,1,FALSE
never fly british airway flight july 15 2023 lhr lax cancelled 20 hour departure without explanation since 8 week waiting refund ba pay u cost caused cancellation disappointing,Switzerland,9/19/2023,1,FALSE
check security clearance quick lhr t5 wife used gallery north lounge 600am easy get seat good buffet breakfast option flight boarded time flight departed time seated 4 club europe seat a320 seem getting smaller legroom 6ft tight cabin crew service fine chose full english breakfast ok lot water bottom bowl flight landed time overall ok flight club europe ’ feel premium day,United Kingdom,9/18/2023,6,TRUE
british airway confirmed worst airline uk last minute cancellation explanation refusal book another airline “ ’ arrangement ” ’ happened used national airline,United Kingdom,9/16/2023,1,FALSE
worst ba experience supposed fly italy 7 september 2023 arrived tambo international airport ready check bag already checkedin online previous evening boarding pas ready counter told offloaded flight connecting flight cancelled information sent regarding beforehand team checkin counter tried get another flight evening flight available manage get another flight following evening lufthansa italy via frankfurt however miss first part trip arrived day half later supposed upon moving flight ask ba staff whether flight back still valid everything order assured correct fly back south africa 18 september upon checking booking information noticed ba account first flight milan london missing booking connecting london johannesburg still spending entire morning customer helpline two different operator picked instance moment proceed give booking reference number call get dropped currently seems like arriving airport monday without flight,South Africa,9/15/2023,2,TRUE
daughter denied boarding business class flight madrid heathrow march 25 2023 first leg return flight victoria canada reason given denied boarding check staff british airway counter madrid said agent told u call british airway three hour early flight valid passport many try finally reached british airway phone told call expedia booked flight expedia confirmed bumped flight explanation expedia began long process finding alternative flight next 24 hour numerous call expedia british airway incredibly next available flight 9 day later april 3 almost unbelievable many many try best could even though business class ticket part problem apparently rule allow change routing segment flight nine day delay major problem u miss work daughter missing school received compensation british airway penalty fee reimbursement expense staying nine extra day return began british airway online complaint process submitted supporting document received email reply case reference number nothing sent numerous follow email received reply month later still heard british airway shocking definitely worst airline service received thousand flight many decade patient person first time commented type forum think public made aware extremely poor customer service british airway,Canada,9/13/2023,1,TRUE
despite boarding usual free lhr group 13 called board whilst passenger agreed check bag gate getting board anyone else however service board impeccable superb crew friendly attentive interacting passenger generally appearing enjoying job like ba old day best food choice quality seems improved beef cheek thankfully even club kitchen appears returned old style club seating least better feel le cramped 787s,United Kingdom,9/11/2023,8,TRUE
flight cancelled crew 9th september 2023 peak holiday period bad management ba sent gate left standing hour flight cancelled day ba continue provide poor service national disgrace,United Kingdom,9/10/2023,1,FALSE
worst service ever baggage arrive time flight delayed never fly even food bad service,Kuwait,9/9/2023,1,FALSE
44 flight booked holiday delayed 12 hour wifi available 2 4 flight food drink basic expensive recommend,Germany,9/6/2023,1,TRUE
british airway total lack respect customer booked fly frankfurt main london city airport couple hour scheduled departure flight suddenly cancelled ba without explanation already airport worst thing utter callousness staff showed towards customer ground staff ’ attitude merely third party agent ba employee therefore quickly washed hand u telling u contact ba directly via phone wanted help ’ even provide u phone number telling u look bacom ba abandoned passenger tell u ba departure heathrow also cancelled meaning would ba flight frankfurt london day although airline still operating route ba refused rebook u reason given cancellation “ technical reason ” assistance information provided right due cancellation information help regarding food accommodation help etc attitude literally cancellation nothing problem received email hour later notifying automatically rebooked alternative flight 24 hour later ’ acceptable get back london night rang ba ’ call centre showed high degree callousness 95 halfhour call spent waiting hold phone cutting half hour meaningful information given point attempt call operator call back line cut solid phone signal wifi still standing terminal 2 frankfurt main airport even though phone number listed booking contact detail ’ care end arrange return london taking coach hanh airport 112km away waiting 5 hour booking expensive last minute ticket ryanair stansted least flight operated time got back london ba worse low cost carrier,United Kingdom,9/4/2023,1,TRUE
london heathrow keflavik iceland business class a321 british airway provides unusual business class experience intraeurope flight seating similar airline middle seat vacant little extra space british airway business class cabin extends almost half aircraft make le premium experience every step boarding onboard wifi worked half flight refund worked surprisingly fast service flight good got keflavik time,Iceland,9/4/2023,8,TRUE
mumbai london heathrow business class ageing b777200 aircraft featured older club world flatbed seat comfortable enough storage space around cubicle monitor screen among larger one ive seen airplane ba new club suite said far superior competing best bclass rival entire business class cabin 2 washroom wasnt issue flight since premier section wasnt full capacity wifi board fast enough even send video via messaging apps service onboard competent staff lacked warmth food alright biggest plus flight get bombay 110 pm afternoon instead ungodly early morning hour international flight take india airport experience far pleasant time summary british airway provides good spectacular business class product,Iceland,9/4/2023,8,TRUE
care support shocking written previously loyal ba traveller lie misleading unprofessional service told flight cancelled booked next available flight downgraded cabin business premium economy called ask told technical fault original flight suspicion another reason airport check staff said enough crew staff original flight earlier day take money allow book flight would allowed get work doctor first place trust organisation look flying customer,United Kingdom,9/4/2023,2,TRUE
flying a380 business class pleasure ba made disaster worst seating configuration imaginable could sane person could jam many seat limited space expect passenger happy seat narrower economy airline must face another person plastic screen raised tv screen size medium sized tablet control behind head sitting position put anything except one small pull draw ground level reached seated accessed sleeping window seat middle seat accessed jump passenger aisle seat seat low hard elderly get whole business class set sick joke eating difficult seat close enough table table flimsy drink fall redeeming feature answer like little comfort avoid ba like plague,Australia,9/2/2023,1,TRUE
british airway absolutely care reserved seat change aisle center seat overnight full flight quite awful enquiring lax check agent said sorry nothing onboard flight attendant seemed try finish meal service racing speed meal tray passed proper question choice back clearing tray disappeared rest kitchen hour water run need anything bother call bell simply ignore used like travelling british airway 1015 year ago bean counter lowered close lowcost carrier guess staff badly paid terrible attitude service last trip london delta much better poor excuse airline british air become,United Kingdom,9/1/2023,1,TRUE
